District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
Sholapur,Akluj,Onion,Other,Local,200,1600,900
Akola,Akola,Onion,Other,Local,700,1700,1300
Akola,Akola,Onion,Other,Local,700,1800,1400
Ahmednagar,Akole,Onion,Other,Local,150,1811,1000
Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,Local,700,2500,1600
Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,Local,800,2600,1700
Jalgaon,Bhusaval,Onion,Other,Local,1000,1500,1300
Chandrapur,Chandrapur(Ganjwad),Onion,Other,Local,2000,3200,2800
Nashik,Chandvad,Onion,Other,Local,453,1580,1380
Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,Local,300,1300,800
Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,Local,300,1400,850
Nashik,Devala,Onion,Other,Local,300,1470,1200
Dhule,Dhule,Onion,Red,Local,500,1310,1200
Nagpur,Hingna,Onion,Red,Local,2000,2200,2100
Nagpur,Hingna,Onion,Red,Local,2000,2200,2100
Pune,Indapur,Onion,Red,Local,200,1800,1000
Jalgaon,Jalgaon,Onion,Red,Local,550,1300,960
Ahmednagar,Jamkhed,Onion,Local,Local,200,1700,950
Nashik,Kalvan,Onion,Other,Local,450,1900,1200
Nagpur,Kamthi,Onion,Local,Local,1520,2020,1770
Satara,Karad,Onion,Other,Local,1000,1600,1600
Ahmednagar,Karjat,Onion,Local,Local,200,1500,900
Ahmednagar,Karjat,Onion,Local,Local,200,1500,900
Pune,Khed(Chakan),Onion,Other,Local,800,1600,1300
Pune,Khed(Chakan),Onion,Other,Local,1000,1600,1300
Kolhapur,Kolhapur,Onion,Other,Local,500,1900,1000
Ahmednagar,Kopargaon,Onion,Other,Local,400,1541,1200
Nashik,Lasalgaon,Onion,Other,Local,600,1900,1500
Nashik,Lasalgaon(Niphad),Onion,Other,Local,600,1601,1370
Nashik,Lasalgaon(Vinchur),Onion,Other,Local,600,1670,1370
Nashik,Lasalgaon(Vinchur),Onion,Other,Local,600,1716,1450
Chattrapati Sambhajinagar,Lasur Station,Onion,Other,Local,100,1540,925
Sholapur,Laxmi Sopan Agriculture Produce Marketing Co Ltd,Onion,Other,Local,600,1300,900
Sholapur,Laxmi Sopan Agriculture Produce Marketing Co Ltd,Onion,Other,Local,600,1700,1200
Buldhana,Malkapur,Onion,Local,Local,525,1200,800
Sholapur,Mangal Wedha,Onion,Local,Local,100,1600,1400
Nashik,Manmad,Onion,Other,Local,300,1491,1350
Nagpur,Nagpur,Onion,Red,Local,1000,1800,1600
Nagpur,Nagpur,Onion,White,Local,1500,2000,1875
Nashik,Nampur,Onion,Other,Local,400,1435,1250
Nashik,Nasik,Onion,Other,Local,350,1551,1100
Ahmednagar,Om Chaitanya Multistate Agro Purpose CoOp Society ,Onion,Other,Local,200,1800,1100
Ahmednagar,Pathardi,Onion,Red,Local,200,1500,900
Nashik,Pimpalgaon,Onion,Other,Local,400,2101,1375
Nashik,Pimpalgaon Baswant(Saykheda),Onion,Other,Local,700,1701,1200
Pune,Pune,Onion,Local,Local,500,1650,1075
Pune,Pune,Onion,Local,Local,600,1800,1200
Pune,Pune(Khadiki),Onion,Local,Local,700,1400,1050
Pune,Pune(Khadiki),Onion,Local,Local,700,1600,1150
Pune,Pune(Manjri),Onion,Local,Local,800,1400,1100
Pune,Pune(Manjri),Onion,Local,Local,1000,1600,1300
Pune,Pune(Moshi),Onion,Local,Local,1000,1500,1250
Pune,Pune(Pimpri),Onion,Local,Local,1300,1500,1400
Pune,Pune(Pimpri),Onion,Local,Local,1300,1700,1500
Ahmednagar,Rahata,Onion,Other,Local,600,1700,1100
Ahmednagar,Rahuri,Onion,Other,Local,100,1710,905
Dhule,Sakri,Onion,Other,Local,750,1350,1100
Ahmednagar,Sangamner,Onion,Other,Local,200,1800,1000
Ahmednagar,Sangamner,Onion,Other,Local,200,1900,1050
Sangli,"Sangli(Phale, Bhajipura Market)",Onion,Local,Local,500,1800,1150
Satara,Satara,Onion,Other,Local,1000,2000,1500
Ahmednagar,Shrirampur,Onion,Other,Local,550,1600,1250
Nashik,Sinner,Onion,Other,Local,100,1400,1250
Sholapur,Solapur,Onion,Red,Local,100,2300,1000
Chattrapati Sambhajinagar,Vaijpur,Onion,Other,Local,300,1427,1200
Mumbai,Vashi New Mumbai,Onion,Other,Local,1100,1700,1400
Sholapur,Akluj,Potato,Local,Local,1500,1800,1600
Akola,Akola,Potato,Other,Local,900,1500,1200
Akola,Akola,Potato,Other,Local,900,1500,1300
Amarawati,Amrawati(Frui & Veg. Market),Potato,Local,Local,600,1700,1150
Amarawati,Amrawati(Frui & Veg. Market),Potato,Local,Local,700,1700,1200
Jalgaon,Bhusaval,Potato,Other,Local,1400,2000,1700
Chandrapur,Chandrapur(Ganjwad),Potato,Other,Local,1400,1600,1500
Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Potato,Other,Local,1200,1400,1300
Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Potato,Other,Local,1300,1500,1400
Nagpur,Hingna,Potato,Local,Local,1250,2000,1750
Nagpur,Hingna,Potato,Local,Local,1250,2000,1750
Jalgaon,Jalgaon,Potato,Other,Local,1000,1400,1200
Nagpur,Kamthi,Potato,Local,Local,2030,2530,2280
Pune,Khed(Chakan),Potato,Other,Local,1200,1800,1500
Pune,Khed(Chakan),Potato,Other,Local,1200,1800,1500
Nagpur,Nagpur,Potato,Local,Local,1000,1500,1375
Nashik,Nasik,Potato,Other,Local,1050,1650,1400
Pune,Pune,Potato,Local,Local,800,2000,1400
Pune,Pune,Potato,Local,Local,1000,2000,1500
Pune,Pune(Khadiki),Potato,Local,Local,800,1200,1000
Pune,Pune(Khadiki),Potato,Local,Local,1000,1300,1150
Pune,Pune(Manjri),Potato,Other,Local,1000,2000,1500
Pune,Pune(Manjri),Potato,Other,Local,1500,2500,2000
